member_supplier_name~membership_number~catalogue_name~brand_name~label_name~appa_product_code~product_code~product_name~product_code_group~categorisation~category_ /_sub category~Memento Category~additional_keywords~product_tags~discontinued_stock~product_description~description_additional~product_features~product_materials~product_item_size~product_packaging_inner~product_image_file_name~alternate_views_image_file_names~group_image_file_name~colours_available_appa~colours_available_supplier~colour_image_file_names~colour_product_codes~product_sizes~size_images~size_product_code~decoration_options_available~decoration_areas~indent_only~branded~custom_field_1~custom_field_2~custom_field_3~price_decoration_description~decoration position ~decoration color~decoration_type~price_product_code~price_notes~MOQ~IOQ~qty_1~sell_1~qty_2~sell_2~qty_3~sell_3~qty_4~sell_4~qty_5~sell_5~qty_6~sell_6~qty_7~sell_7~qty_8~sell_8~additional_charges_name1~additional_charge_value1~Set-up Charge~additional_charges_notes1~additional_charges_name2~additional_charge_value2~additional_charges_notes2~carton_height~carton_width~carton_depth~carton_weight~carton_qty~carton_cubic~carton_notes~freight_description~product_URL
1~~~~~~AR116~USB LED Travel Light~Accessories~~~Travel | Accessories~~~~3 super bright LED lights, USB powered, on/off switch, multi angle, adjustable clip. Exit Stock check stock levels~~~~~1 Colour 1 Position Print~AR116_3.jpg~~~~Silver~~~~~~~~~~~~~~1 Position~1 Colour~Pad Print~~~~~100~4.26~250~3.20~500~2.93~1000~2.71~2500~2.41~5000~2.15~~~~~Setups:Qty: 100: $85 , Qty: 250: $85 , Qty: 500: $85 , Qty: 1000: $85 , Qty: 2500: $85 , ~85~125~~~Additional setup costs POA~~24~45~23~6~40~6~~~http://www.promotional-it-solutions.com.au/index.php/ar116-usb-led-travel-light.html
2~~~~~~MB5036~Bendy Phone Stand~Accessories~~~Technology | Phone Stands~~~~Where do you keep your mobile phone when charging? This foldable mobile phone holder is easy to use and to carry along.~ Certifications: CE, RoHS~~~~1 Colour 1 Position Print~MB5036_3.jpg~~~~Black~~~~~~~~~~~~~~1 Position~1 Colour~Pad Print~~~~~100~5.45~250~4.82~500~4.29~1000~3.95~2500~3.36~~0.00~~~~~Setups:Qty: 100i: $45 , Qty: 250i: $45 , Qty: 500i: $45 , Qty: 1000i: $45 , Qty: 2500i: $45 , Qty: 5000i: $45 , ~45~70~~~Additional setup costs POA~~38~50~18~11~250~9~~~http://www.promotional-it-solutions.com.au/index.php/mb5036-bendy-phone-stand.html
3~~~~~~TRA5008~Weight Lifter Travel Scale~Accessories~~~Travel | Accessories~~~~Know your weight! Never pay extra again for heavy luggage. Simply connect the weight lifter travel scale to your suitcase and measure the weight before you're off to the airport! Measures up to 40 Kgs. Includes 1 x button cell battery.~ Certifications: CE, RoHS~~~~1 Colour 1 Position Print~TRA5008_3.jpg~~~~Silver, Black~~~~~~~~~~~~~~1 Position~1 Colour~Pad Print~~~~~100~11.28~250~10.13~500~9.26~1000~8.29~2500~7.99~~0.00~~~~~Setups:Qty: 100i: $45 , Qty: 250i: $45 , Qty: 500i: $45 , Qty: 1000i: $45 , Qty: 2500i: $45 , ~45~70~~~Additional setup costs POA~~32~37~36~11.5~144~11~~~http://www.promotional-it-solutions.com.au/index.php/tra5008-weight-lifter-travel-scale.html
4~~~~~~TRA5009~Travellers Luggage Tag~Accessories~~~Travel | Luggage Tags~~~~ECO PVC luggage tag to add a bit of colour to your suitcase! Why ECO? Because the PVC is without any plasticisers.~ Certifications: CE, RoHS~~~~1 Colour 1 Position Print~TRA5009_3.jpg~~~~Black, Green, Orange~~~~~~~~~~~~~~1 Position~1 Colour~Pad Print~~~~~100~3.79~250~3.35~500~3.08~1000~2.74~2500~2.51~5000~2.28~~~~~Setups:Qty: 100i: $45 , Qty: 250i: $45 , Qty: 500i: $45 , Qty: 1000i: $45 , Qty: 2500i: $45 , Qty: 5000i: $45 , ~45~70~~~Additional setup costs POA~~15~35~25~4~100~3~~~http://www.promotional-it-solutions.com.au/index.php/tra5009-travellers-luggage-tag.html
5~~~~~~TRA5010~Passport Hold-ID~Accessories~~~Travel | Travel Wallet~~~~ECO PVC passport holder. Why ECO? Because the PVC is without any plasticisers.~ Certifications: CE, RoHS~~~~1 Colour 1 Position Print~TRA5010_3.jpg~~~~Black, Green, Orange~~~~~~~~~~~~~~1 Position~1 Colour~Pad Print~~~~~100~6.66~250~5.88~500~5.26~1000~4.49~2500~4.11~5000~4.01~~~~~Setups:Qty: 100i: $45 , Qty: 250i: $45 , Qty: 500i: $45 , Qty: 1000i: $45 , Qty: 2500i: $45 , Qty: 5000i: $45 , ~45~70~~~Additional setup costs POA~~26~50~25~14~300~8~~~http://www.promotional-it-solutions.com.au/index.php/tra5010-passport-hold-id.html
6~~~~~~TRA5011~Bellboy Luggage Tag~Accessories~~~Travel | Luggage Tags~~~~The latest design in luggage tags: Bellboy. Simply write on the silicon material and slap on your luggage handle! This way people won't see your details at a first glance still your suitcase is easily traceable. The silicon materials lets you write and erase your details easily.   ~ Certifications: CE, RoHS~~~~1 Colour 1 Position Print~TRA5011_3.jpg~~~~Blue (PMS 286C), Grey (PMS Cool Grey 11C), Lime Green (PMS 7488C), Orange (PMS Hexachrome Orange C), Red (PMS 186C), White, Customised colours - 250pcs MOQ~~~~~~~~~~~~~~1 Position~1 Colour~Pad Print~~~~~100~4.91~250~4.35~500~3.87~1000~3.56~2500~3.03~~0.00~~~~~Setups:Qty: 100i: $45 , Qty: 250i: $45 , Qty: 500i: $45 , Qty: 1000i: $45 , Qty: 2500i: $45 , ~45~70~~~Additional setup costs POA~~19~46~28~9~200~6~~~http://www.promotional-it-solutions.com.au/index.php/tra5011-bellboy-luggage-tag.html
7~~~~~~TRA5011~Bellboy Luggage Tag~Accessories~~~Travel | Luggage Tags~~~~The latest design in luggage tags: Bellboy. Simply write on the silicon material and slap on your luggage handle! This way people won't see your details at a first glance still your suitcase is easily traceable. The silicon materials lets you write and erase your details easily.   ~ Certifications: CE, RoHS~~~~1 Position Laser Engrave~TRA5011_3.jpg~~~~Blue (PMS 286C), Grey (PMS Cool Grey 11C), Lime Green (PMS 7488C), Orange (PMS Hexachrome Orange C), Red (PMS 186C), White, Customised colours - 250pcs MOQ~~~~~~~~~~~~~~1 Position~Tone on tone~Laser Engrave~~~~~100~5.69~250~5.10~500~4.60~1000~3.98~2500~3.65~~0.00~~~~~Setups:Qty: 100i: $45 , Qty: 250i: $45 , Qty: 500i: $45 , Qty: 1000i: $45 , Qty: 2500i: $45 , ~45~70~~~Additional setup costs POA~~19~46~28~9~200~6~~~http://www.promotional-it-solutions.com.au/index.php/tra5011-bellboy-luggage-tag.html
8~~~~~~AR229~DVD Duplication~Accessories~~~Technology | Accessories~~~~Fully customised CD/DVD duplication that delivers more affordable video or file based digital content for distribution.~~~~~1 Position Direct Digital Print~AR229_3.jpg~~~~Customised~~~~~~~~~~~~~~1 Position~Full Colour~Direct Digital Print~~~~~250~3.58~500~3.39~1000~3.32~2500~2.82~5000~2.81~~0.00~~~~~Setups:Qty: 250: $50 , Qty: 500: $50 , Qty: 1000: $50 , Qty: 2500: $50 , Qty: 5000: $50 , ~50~75~~~Additional setup costs POA~~10~13~26~1.5~100~1~~~http://www.promotional-it-solutions.com.au/index.php/ar229-dvd-duplication.html
9~~~~~~OD5080~Fancy Flashlight~Accessories~~~Outdoor | Torches & Flashlights~~~~Stylish torch with 1 LED light on the top and 10 LED lights on the side. Including magnet on the back for easy storing. Includes 3 x AAA batteries. Material ABS.~ Certifications: CE, RoHS~~~~1 Colour 1 Position Print~OD5080_3.jpg~~~~Black~~~~~~~~~~~~~~1 Position~1 Colour~Pad Print~~~~~50~16.63~100~15.18~250~14.10~500~12.87~1000~11.35~2500~10.83~~~~~Setups:Qty: 50i: $45 , Qty: 100i: $45 , Qty: 250i: $45 , Qty: 500i: $45 , Qty: 1000i: $45 , Qty: 2500i: $45 , ~45~70~~~Additional setup costs POA~~29~55~50~12~100~20~~~http://www.promotional-it-solutions.com.au/index.php/od5080-fancy-flashlight.html
10~~~~~~MB5047~3-N-1 Charge Cable~Accessories~~~Technology | Cables~~~~USB charge cable with USB, iPhone 4,5 & 6 and Micro USB adaptor. Suitable for charging most devices including iPhone, Samsung, HTC and Sony. This cable has a moulded plug, ensuring the cable connections cannot pull away. The cable is rated at 1.2A~ Certifications: CE, FCC, RoHS~~~~1 Colour 1 Position Print~MB5047_3.jpg~~~~White~~~~~~~~~~~~~~1 Position~1 Colour~Pad Print~~~~~250~2.98~500~2.83~1000~2.61~2500~2.32~5000~2.11~~0.00~~~~~Setups:Qty: 250i: $45 , Qty: 500i: $45 , Qty: 1000i: $45 , Qty: 2500i: $45 , Qty: 5000i: $45 , ~45~70~~~Additional setup costs POA~~11~35~45~5~250~4~~~http://www.promotional-it-solutions.com.au/index.php/mb5047-3-n-1-charge-cable.html
