member_supplier_name~membership_number~catalogue_name~brand_name~label_name~appa_product_code~product_code~product_name~product_code_group~categorisation~category_ /_sub category~Memento Category~additional_keywords~product_tags~discontinued_stock~product_description~description_additional~product_features~product_materials~product_item_size~product_packaging_inner~product_image_file_name~alternate_views_image_file_names~group_image_file_name~colours_available_appa~colours_available_supplier~colour_image_file_names~colour_product_codes~product_sizes~size_images~size_product_code~decoration_options_available~decoration_areas~indent_only~branded~custom_field_1~custom_field_2~custom_field_3~price_decoration_description~decoration position ~decoration color~decoration_type~price_product_code~price_notes~MOQ~IOQ~qty_1~sell_1~qty_2~sell_2~qty_3~sell_3~qty_4~sell_4~qty_5~sell_5~qty_6~sell_6~qty_7~sell_7~qty_8~sell_8~additional_charges_name1~additional_charge_value1~Set-up Charge~additional_charges_notes1~additional_charges_name2~additional_charge_value2~additional_charges_notes2~carton_height~carton_width~carton_depth~carton_weight~carton_qty~carton_cubic~carton_notes~freight_description~product_URL,,,,,,,,,,,,,,,,,,,
1~2164~The Range 2017~~~~21M1001~Edge Sunglasses~21M1001~~Health and Personal/Personal Items | Health and Personal/Glasses | Leisure/Summer Gift Ideas | ~Eyewear | Fashion~Health |  Personal |  Leisure |  Glasses |  Personal Items |  Summer Gift Ideas |  Sunglasses Metal frame Black case UV400 |  Black Case~~0~UV400 blocking sunglasses. Slim stylish metal frames.~Includes black hard-shell hinged protective case and cleaning cloth.~~Metal Frame with glass lenses~Glasses: 40mm(h) x 140mm(w) x 35mm(d).  Case: 62mm(h) x 155mm(w) x 62mm(d)~Glasses are packed in a polybag and presented in a black hard-shell case which is packaged in a polybag.  Packaging Size: 155mm(w) x 65mm(h) x 62mm(d).~1001.jpg~1001_0005.jpg | ~~~~~~~~~Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print ~Pad - On Case Only: 60mm(w) x 30mm(h)~0~0~Last created : 26/Aug/16~~~Item + Deboss~1 position~Tone on tone~Deboss~Blind Emboss~~10~~10~21.30~25~17.75~50~15.45~100~13.58~250~12.21~500~10.45~1000~9.36~2500~8.94~Setup~185~260~Repeat Setup Cost: $30~Pre Production Sample~~$185~630~180~370~13~60~0.041958~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?1001,,,,,,,,,,,,,,,
2~2164~The Range 2017~~~~21M1001~Edge Sunglasses~21M1001~~Health and Personal/Personal Items | Health and Personal/Glasses | Leisure/Summer Gift Ideas | ~Eyewear | Fashion~Health |  Personal |  Leisure |  Glasses |  Personal Items |  Summer Gift Ideas |  Sunglasses Metal frame Black case UV400 |  Black Case~~0~UV400 blocking sunglasses. Slim stylish metal frames.~Includes black hard-shell hinged protective case and cleaning cloth.~~Metal Frame with glass lenses~Glasses: 40mm(h) x 140mm(w) x 35mm(d).  Case: 62mm(h) x 155mm(w) x 62mm(d)~Glasses are packed in a polybag and presented in a black hard-shell case which is packaged in a polybag.  Packaging Size: 155mm(w) x 65mm(h) x 62mm(d).~1001.jpg~1001_0005.jpg | ~~~~~~~~~Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print ~Pad - On Case Only: 60mm(w) x 30mm(h)~0~0~Last created : 26/Aug/16~~~Item + 1 Colour Foil Filled Deboss (1 colour)~1 position~1 colour~Foil Filled Deboss~Foil Filled Emboss~~10~~10~24.76~25~20.34~50~17.18~100~15.08~250~13.66~500~11.80~1000~10.61~2500~10.19~Setup~195~275~Repeat Setup Cost: $40~Pre Production Sample~~$195~630~180~370~13~60~0.041958~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?1001,,,,,,,,,,,,,,,
3~2164~The Range 2017~~~~21M1001~Edge Sunglasses~21M1001~~Health and Personal/Personal Items | Health and Personal/Glasses | Leisure/Summer Gift Ideas | ~Eyewear | Fashion~Health |  Personal |  Leisure |  Glasses |  Personal Items |  Summer Gift Ideas |  Sunglasses Metal frame Black case UV400 |  Black Case~~0~UV400 blocking sunglasses. Slim stylish metal frames.~Includes black hard-shell hinged protective case and cleaning cloth.~~Metal Frame with glass lenses~Glasses: 40mm(h) x 140mm(w) x 35mm(d).  Case: 62mm(h) x 155mm(w) x 62mm(d)~Glasses are packed in a polybag and presented in a black hard-shell case which is packaged in a polybag.  Packaging Size: 155mm(w) x 65mm(h) x 62mm(d).~1001.jpg~1001_0005.jpg | ~~~~~~~~~Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print ~Pad - On Case Only: 60mm(w) x 30mm(h)~0~0~Last created : 26/Aug/16~~~Item + 2 Colour Foil Filled Deboss (2 colours)~1 position~2 colour~Foil Filled Deboss~Foil Filled Emboss~~10~~10~26.31~25~21.90~50~18.05~100~16.58~250~15.11~500~13.14~1000~11.86~2500~11.44~Setup~235~330~Repeat Setup Cost: $40~Pre Production Sample~~$40~630~180~370~13~60~0.041958~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?1001,,,,,,,,,,,,,,,
4~2164~The Range 2017~~~~21M1001~Edge Sunglasses~21M1001~~Health and Personal/Personal Items | Health and Personal/Glasses | Leisure/Summer Gift Ideas | ~Eyewear | Fashion~Health |  Personal |  Leisure |  Glasses |  Personal Items |  Summer Gift Ideas |  Sunglasses Metal frame Black case UV400 |  Black Case~~0~UV400 blocking sunglasses. Slim stylish metal frames.~Includes black hard-shell hinged protective case and cleaning cloth.~~Metal Frame with glass lenses~Glasses: 40mm(h) x 140mm(w) x 35mm(d).  Case: 62mm(h) x 155mm(w) x 62mm(d)~Glasses are packed in a polybag and presented in a black hard-shell case which is packaged in a polybag.  Packaging Size: 155mm(w) x 65mm(h) x 62mm(d).~1001.jpg~1001_0005.jpg | ~~~~~~~~~Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print ~Pad - On Case Only: 60mm(w) x 30mm(h)~0~0~Last created : 26/Aug/16~~~Item + 1 Colour Foil Stamp (1 colour)~1 position~1 colour~Foil Stamp~Foil Stamping~~10~~10~21.30~25~17.75~50~15.45~100~13.58~250~12.21~500~10.45~1000~9.36~2500~8.94~Setup~185~260~Repeat Setup Cost: $30~Pre Production Sample~~$185~630~180~370~13~60~0.041958~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?1001,,,,,,,,,,,,,,,
5~2164~The Range 2017~~~~21M1001~Edge Sunglasses~21M1001~~Health and Personal/Personal Items | Health and Personal/Glasses | Leisure/Summer Gift Ideas | ~Eyewear | Fashion~Health |  Personal |  Leisure |  Glasses |  Personal Items |  Summer Gift Ideas |  Sunglasses Metal frame Black case UV400 |  Black Case~~0~UV400 blocking sunglasses. Slim stylish metal frames.~Includes black hard-shell hinged protective case and cleaning cloth.~~Metal Frame with glass lenses~Glasses: 40mm(h) x 140mm(w) x 35mm(d).  Case: 62mm(h) x 155mm(w) x 62mm(d)~Glasses are packed in a polybag and presented in a black hard-shell case which is packaged in a polybag.  Packaging Size: 155mm(w) x 65mm(h) x 62mm(d).~1001.jpg~1001_0005.jpg | ~~~~~~~~~Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print ~Pad - On Case Only: 60mm(w) x 30mm(h)~0~0~Last created : 26/Aug/16~~~Item + 2 Colour Foil Stamp (2 colours)~1 position~2 colour~Foil Stamp~Foil Stamping~~10~~10~22.33~25~18.79~50~16.49~100~14.58~250~13.18~500~11.35~1000~10.19~2500~9.78~Setup~215~305~Repeat Setup Cost: $30~Pre Production Sample~~$30~630~180~370~13~60~0.041958~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?1001,,,,,,,,,,,,,,,
6~2164~The Range 2017~~~~21M1001~Edge Sunglasses~21M1001~~Health and Personal/Personal Items | Health and Personal/Glasses | Leisure/Summer Gift Ideas | ~Eyewear | Fashion~Health |  Personal |  Leisure |  Glasses |  Personal Items |  Summer Gift Ideas |  Sunglasses Metal frame Black case UV400 |  Black Case~~0~UV400 blocking sunglasses. Slim stylish metal frames.~Includes black hard-shell hinged protective case and cleaning cloth.~~Metal Frame with glass lenses~Glasses: 40mm(h) x 140mm(w) x 35mm(d).  Case: 62mm(h) x 155mm(w) x 62mm(d)~Glasses are packed in a polybag and presented in a black hard-shell case which is packaged in a polybag.  Packaging Size: 155mm(w) x 65mm(h) x 62mm(d).~1001.jpg~1001_0005.jpg | ~~~~~~~~~Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print ~Pad - On Case Only: 60mm(w) x 30mm(h)~0~0~Last created : 26/Aug/16~~~Item + 1 colour pad print (1 colour)~1 position~1 colour~Pad Print~Pad Print~Case~10~~10~28.30~25~17.06~50~12.54~100~9.83~250~8.24~500~7.94~1000~7.31~2500~6.72~Setup~85~120~Repeat Setup Cost: $50~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~630~180~370~13~60~0.041958~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?1001,,,,,,,,,,,,,,,
7~2164~The Range 2017~~~~21M1001~Edge Sunglasses~21M1001~~Health and Personal/Personal Items | Health and Personal/Glasses | Leisure/Summer Gift Ideas | ~Eyewear | Fashion~Health |  Personal |  Leisure |  Glasses |  Personal Items |  Summer Gift Ideas |  Sunglasses Metal frame Black case UV400 |  Black Case~~0~UV400 blocking sunglasses. Slim stylish metal frames.~Includes black hard-shell hinged protective case and cleaning cloth.~~Metal Frame with glass lenses~Glasses: 40mm(h) x 140mm(w) x 35mm(d).  Case: 62mm(h) x 155mm(w) x 62mm(d)~Glasses are packed in a polybag and presented in a black hard-shell case which is packaged in a polybag.  Packaging Size: 155mm(w) x 65mm(h) x 62mm(d).~1001.jpg~1001_0005.jpg | ~~~~~~~~~Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print ~Pad - On Case Only: 60mm(w) x 30mm(h)~0~0~Last created : 26/Aug/16~~~Item + 2 colour pad print (2 colours)~1 position~2 colour~Pad Print~Pad Print~Case~10~~10~47.77~25~25.28~50~16.64~100~11.83~250~9.11~500~8.07~1000~7.42~2500~7.28~Setup~140~200~Repeat Setup Cost: $35~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~630~180~370~13~60~0.041958~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?1001,,,,,,,,,,,,,,,
8~2164~The Range 2017~~~~21M1019~Desk Clock~21M1019~~Desk & Business/Clocks | ~Stationery | Desk Accessories~Desk |  Business |  Clock |  Analogue |  clock |  nickel |  plated |  desk |  Silver |  Shiny |  black |  alarm |  gift box~~0~A beautiful accessory for the home or office. Shiny nickel plated finish with alarm.~Quartz desk clock with alarm and black face, L-shape. Engraves silver. Supplied with AA battery.~~Shiny nickel finish~117mm(w) x 126mm(h) x 57mm(d)~Wrapped in tissue paper  in a polybag and presented in a plain black 2 part gift box.  Packaging Size: 185mm(h) x 150mm(w) x 90mm(d)~1019.jpg~1019_0008.jpg | 1019_0007.jpg | ~~~~~~~~~Colour Print  |  Full Colour Print  |  Laser Engrave  |  Print with Dome ~Laser: 30mm(w) x 20mm(h).  Pad: 60mm(w) x 35mm(h)~0~0~Last created : 26/Aug/16~~~Item + 1 colour pad print (1 colour)~1 position~1 colour~Pad Print~Pad Print~~10~~10~58.72~25~45.73~50~38.73~100~35.53~250~28.54~500~27.68~1000~27.61~2500~27.54~Setup~85~120~Repeat Setup Cost: $50~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~400~325~460~9.46~20~0.0598~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?1019,,,,,,,,,,,,,,
9~2164~The Range 2017~~~~21M1019~Desk Clock~21M1019~~Desk & Business/Clocks | ~Stationery | Desk Accessories~Desk |  Business |  Clock |  Analogue |  clock |  nickel |  plated |  desk |  Silver |  Shiny |  black |  alarm |  gift box~~0~A beautiful accessory for the home or office. Shiny nickel plated finish with alarm.~Quartz desk clock with alarm and black face, L-shape. Engraves silver. Supplied with AA battery.~~Shiny nickel finish~117mm(w) x 126mm(h) x 57mm(d)~Wrapped in tissue paper  in a polybag and presented in a plain black 2 part gift box.  Packaging Size: 185mm(h) x 150mm(w) x 90mm(d)~1019.jpg~1019_0008.jpg | 1019_0007.jpg | ~~~~~~~~~Colour Print  |  Full Colour Print  |  Laser Engrave  |  Print with Dome ~Laser: 30mm(w) x 20mm(h).  Pad: 60mm(w) x 35mm(h)~0~0~Last created : 26/Aug/16~~~Item + 2 colour pad print (2 colours)~1 position~2 colour~Pad Print~Pad Print~~10~~10~78.18~25~53.65~50~42.55~100~37.47~250~29.24~500~28.38~1000~28.24~2500~28.10~Setup~140~200~Repeat Setup Cost: $35~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~400~325~460~9.46~20~0.0598~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?1019,,,,,,,,,,,,,,
10~2164~The Range 2017~~~~21M1019~Desk Clock~21M1019~~Desk & Business/Clocks | ~Stationery | Desk Accessories~Desk |  Business |  Clock |  Analogue |  clock |  nickel |  plated |  desk |  Silver |  Shiny |  black |  alarm |  gift box~~0~A beautiful accessory for the home or office. Shiny nickel plated finish with alarm.~Quartz desk clock with alarm and black face, L-shape. Engraves silver. Supplied with AA battery.~~Shiny nickel finish~117mm(w) x 126mm(h) x 57mm(d)~Wrapped in tissue paper  in a polybag and presented in a plain black 2 part gift box.  Packaging Size: 185mm(h) x 150mm(w) x 90mm(d)~1019.jpg~1019_0008.jpg | 1019_0007.jpg | ~~~~~~~~~Colour Print  |  Full Colour Print  |  Laser Engrave  |  Print with Dome ~Laser: 30mm(w) x 20mm(h).  Pad: 60mm(w) x 35mm(h)~0~0~Last created : 26/Aug/16~~~Item + Laser Engrave~1 position~Tone on tone~Laser Engrave~Laser Engrave~~10~~10~43.67~25~40.40~50~36.60~100~34.81~250~28.61~500~27.75~1000~27.68~2500~27.54~Setup~75~105~Repeat Setup Cost: $25~Pre Production Sample~~$25~400~325~460~9.46~20~0.0598~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?1019,,,,,,,,,,,,,,
11~2164~The Range 2017~~~~21M1031~WorkMate Tuff 16 Function Multi Tool~21M1031~~Hardware/Multi Tools | Hardware/Tools | ~Outdoors | Tools~Hardware |  Multi Tools |  Tools |   |  Black~~0~Access to 16 tools in the palm of your hand.~High quality rubber edged 16 function tool includes 6 hex keys, Philips head screw driver, driver bit, flat head screw driver, 4-piece ratchet, and 3-piece sockets (8-10mm).~~Stainless Steel~90mm(w) x 25mm(h) x 51mm(d)~Packed in a polybag and presented in a white tuck box. Packaging size: 100mm(w) x 62mm(w) x 33mm(d)~1031_1.jpg~1031_2.jpg | 1031_3.jpg | ~~Black~Black~~~~~~Colour Print  |  Full Colour Print ~Pad: 20mm(w) x 10mm(w)~0~0~Last created : 26/Aug/16~~~Item + 1 colour pad print (1 colour)~1 position~1 colour~Pad Print~Pad Print~~10~~10~27.06~25~15.81~50~11.69~100~9.32~250~7.35~500~7.10~1000~6.35~2500~5.83~Setup~85~120~Repeat Setup Cost: $50~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~190~220~270~11.5~40~0.011286~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?1031,,,,,,,,,,
12~2164~The Range 2017~~~~21M1031~WorkMate Tuff 16 Function Multi Tool~21M1031~~Hardware/Multi Tools | Hardware/Tools | ~Outdoors | Tools~Hardware |  Multi Tools |  Tools |   |  Black~~0~Access to 16 tools in the palm of your hand.~High quality rubber edged 16 function tool includes 6 hex keys, Philips head screw driver, driver bit, flat head screw driver, 4-piece ratchet, and 3-piece sockets (8-10mm).~~Stainless Steel~90mm(w) x 25mm(h) x 51mm(d)~Packed in a polybag and presented in a white tuck box. Packaging size: 100mm(w) x 62mm(w) x 33mm(d)~1031_1.jpg~1031_2.jpg | 1031_3.jpg | ~~Black~Black~~~~~~Colour Print  |  Full Colour Print ~Pad: 20mm(w) x 10mm(w)~0~0~Last created : 26/Aug/16~~~Item + 2 colour pad print (2 colours)~1 position~2 colour~Pad Print~Pad Print~~10~~10~46.52~25~24.03~50~15.79~100~11.32~250~8.16~500~7.82~1000~7.03~2500~6.39~Setup~140~200~Repeat Setup Cost: $35~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~190~220~270~11.5~40~0.011286~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?1031,,,,,,,,,,
13~2164~The Range 2017~~~~21M1032~WorkMate Screwdriver Level Light Tool~21M1032~~Hardware/Multi Tools | Hardware/Tools | ~Outdoors | Tools~Hardware |  Multi Tools |  Tools |   |  Silver / Black~~0~This 3-in-1 tool makes a great leave-behind when calling on plant managers or manufacturing reps.~It features a built-in level and pen light and also works as a screwdriver. Includes 4 screwdriver bits (2 flathead and 2 Phillips head) conveniently stored underneath a removable cap. Pocket clip for attaching to a pocket or belt. 3 button cell batteries included.~~Double Wall Plastic~130mm(w) x 19mm(h) x 25mm(d)~Gift Box~1032_1.jpg~1032_3.jpg | 1032_2.jpg | ~~Silver / Black~Silver / Black~~~~~~Colour Print  |  Full Colour Print ~Pad: 50mm(w) x 9mm(w)~0~0~Last created : 26/Aug/16~~~Item + 1 colour pad print (1 colour)~1 position~1 colour~Pad Print~Pad Print~~10~~10~23.23~25~11.99~50~7.87~100~5.85~250~4.32~500~4.00~1000~3.84~2500~3.17~Setup~85~120~Repeat Setup Cost: $50~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~510~300~165~11~200~0.025245~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?1032,,,,,,,,,,,,,,,
14~2164~The Range 2017~~~~21M1032~WorkMate Screwdriver Level Light Tool~21M1032~~Hardware/Multi Tools | Hardware/Tools | ~Outdoors | Tools~Hardware |  Multi Tools |  Tools |   |  Silver / Black~~0~This 3-in-1 tool makes a great leave-behind when calling on plant managers or manufacturing reps.~It features a built-in level and pen light and also works as a screwdriver. Includes 4 screwdriver bits (2 flathead and 2 Phillips head) conveniently stored underneath a removable cap. Pocket clip for attaching to a pocket or belt. 3 button cell batteries included.~~Double Wall Plastic~130mm(w) x 19mm(h) x 25mm(d)~Gift Box~1032_1.jpg~1032_3.jpg | 1032_2.jpg | ~~Silver / Black~Silver / Black~~~~~~Colour Print  |  Full Colour Print ~Pad: 50mm(w) x 9mm(w)~0~0~Last created : 26/Aug/16~~~Item + 2 colour pad print (2 colours)~1 position~2 colour~Pad Print~Pad Print~~10~~10~42.70~25~20.21~50~11.97~100~7.92~250~5.15~500~4.73~1000~4.23~2500~3.72~Setup~140~200~Repeat Setup Cost: $35~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~510~300~165~11~200~0.025245~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?1032,,,,,,,,,,,,,,,
15~2164~The Range 2017~~~~21M1033~Slim Multi Tool 15 in 1~21M1033~~Hardware/Multi Tools | Hardware/Tools | ~Outdoors | Tools~Hardware |  Multi Tools |  Tools |   |  Black~~0~A 15-in-1 multi tool slim enough to fit in your wallet.~Ready to be used whenever needed. The tool features a can opener, knife edge, screwdriver, ruler, can opener, 4 wrench sizes, butterfly wrench, saw blade, direction ancillary indication, 2 position wrench, and lanyard hole. Black pouch included.~~Stainless Steel and PU~79mm(w) x 57mm(h)~Bulk Packed~1033_4.jpg~1033_1.jpg | 1033_2.jpg | 1033_3.jpg | 1033_5.jpg | 1033_6.jpg | 1033_7.jpg | 1033_8.jpg | ~~Black~Black~~~~~~Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print  |  Laser Engrave ~Pad: 51mm(w) x 25mm(w)~0~0~Last created : 26/Aug/16~~~Item + Deboss~1 position~Tone on tone~Deboss~Blind Emboss~~25~~~~25~7.46~50~6.50~100~5.81~250~5.05~500~4.55~1000~4.01~2500~3.53~Setup~165~235~Repeat Setup Cost: $25~Pre Production Sample~~$165~200~230~270~14.7~400~0.01242~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?1033,,,,,
16~2164~The Range 2017~~~~21M1033~Slim Multi Tool 15 in 1~21M1033~~Hardware/Multi Tools | Hardware/Tools | ~Outdoors | Tools~Hardware |  Multi Tools |  Tools |   |  Black~~0~A 15-in-1 multi tool slim enough to fit in your wallet.~Ready to be used whenever needed. The tool features a can opener, knife edge, screwdriver, ruler, can opener, 4 wrench sizes, butterfly wrench, saw blade, direction ancillary indication, 2 position wrench, and lanyard hole. Black pouch included.~~Stainless Steel and PU~79mm(w) x 57mm(h)~Bulk Packed~1033_4.jpg~1033_1.jpg | 1033_2.jpg | 1033_3.jpg | 1033_5.jpg | 1033_6.jpg | 1033_7.jpg | 1033_8.jpg | ~~Black~Black~~~~~~Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print  |  Laser Engrave ~Pad: 51mm(w) x 25mm(w)~0~0~Last created : 26/Aug/16~~~Item + 1 Colour Foil Filled Deboss (1 colour)~1 position~1 colour~Foil Filled Deboss~Foil Filled Emboss~~25~~~~25~10.92~50~9.10~100~7.37~250~6.55~500~6.00~1000~5.35~2500~4.64~Setup~175~245~Repeat Setup Cost: $35~Pre Production Sample~~$175~200~230~270~14.7~400~0.01242~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?1033,,,,,
17~2164~The Range 2017~~~~21M1033~Slim Multi Tool 15 in 1~21M1033~~Hardware/Multi Tools | Hardware/Tools | ~Outdoors | Tools~Hardware |  Multi Tools |  Tools |   |  Black~~0~A 15-in-1 multi tool slim enough to fit in your wallet.~Ready to be used whenever needed. The tool features a can opener, knife edge, screwdriver, ruler, can opener, 4 wrench sizes, butterfly wrench, saw blade, direction ancillary indication, 2 position wrench, and lanyard hole. Black pouch included.~~Stainless Steel and PU~79mm(w) x 57mm(h)~Bulk Packed~1033_4.jpg~1033_1.jpg | 1033_2.jpg | 1033_3.jpg | 1033_5.jpg | 1033_6.jpg | 1033_7.jpg | 1033_8.jpg | ~~Black~Black~~~~~~Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Full Colour Print  |  Laser Engrave ~Pad: 51mm(w) x 25mm(w)~0~0~Last created : 26/Aug/16~~~Item + 2 Colour Foil Filled Deboss (2 colours)~1 position~2 colour~Foil Filled Deboss~Foil Filled Emboss~~25~~~~25~12.47~50~10.66~100~8.60~250~7.79~500~7.45~1000~6.70~2500~5.89~Setup~210~295~Repeat Setup Cost: $35~Pre Production Sample~~$35~200~230~270~14.7~400~0.01242~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?1033,,,,,
