member_supplier_name,membership_number,catalogue_name,brand_name,label_name,appa_product_code,product_code,product_name,product_code_group,categorisation,category_ /_sub category,Memento Category,additional_keywords,product_tags,discontinued_stock,product_description,description_additional,product_features,product_materials,product_item_size,product_packaging_inner,product_image_file_name,alternate_views_image_file_names,group_image_file_name,colours_available_appa,colours_available_supplier,colour_image_file_names,colour_product_codes,product_sizes,size_images,size_product_code,decoration_options_available,decoration_areas,indent_only,branded,custom_field_1,custom_field_2,custom_field_3,price_decoration_description,decoration position ,decoration color,decoration_type,price_product_code,price_notes,MOQ,IOQ,qty_1,sell_1,qty_2,sell_2,qty_3,sell_3,qty_4,sell_4,qty_5,sell_5,qty_6,sell_6,qty_7,sell_7,qty_8,sell_8,additional_charges_name1,additional_charge_value1,Set-up Charge,additional_charges_notes1,additional_charges_name2,additional_charge_value2,additional_charges_notes2,carton_height,carton_width,carton_depth,carton_weight,carton_qty,carton_cubic,carton_notes,freight_description,product_URL
8,,,,,,80MWG001,Par,,,,Umbrellas | Golf Umbrella,,,,"Our basic model popular golf umbrella.  Available in a huge choice of colours, this umbrella is aimed at the budget-conscious.  ",,,Steel shaft|steel ribs|wooden handle.,Ribs: 8  Diameter: 132cm   Rib Length: 75cm,,WG001_Black.jpg,WG001Black.jpg|WG001Black-_White.jpg|WG001_Bottle.jpg|WG001-_Bottle-Black.jpg|WG001_Bottle-_White.jpg|WG001_Green_White.jpg|WG001_Navy.jpg|WG001n-_White.jpg|WG001o-_White.jpg|WG001r.jpg|WG001r-Black.jpg|WG001r-_White.jpg|WG001r-w-Black.jpg|WG001r-w-Royal.jpg|WG001Royal.jpg|WG001Royal-_White.jpg|WG001_Silver-Black.jpg|WG001_White.jpg|WG001w_Navy.jpg|WG,wg001Black.jpg|wg001Black_White.jpg|wg001Bottle.jpg|WG001-Bottle_Black.jpg|wg001Bottle_White.jpg|wg001Green-White.jpg|wg001Navy.jpg|wg001Navy-White.jpg|wg001Orange-White.jpg|wg001r.jpg|wg001r-Black.jpg|wg001Red-White.jpg|wg001r-w-Black.jpg|wg001Red-White-Royal.jpg|wg001Royal.jpg|wg001Royal-White.jpg|wg001sil-Black.jpg|wg001w.jpg|wg001Wine.jpg|wg,,Black|Bottle|Navy|Red|Royal|White.|Wine|Black/White.|Bottle/Black|Bottle/White.|Green/White.|Navy/White.|Orange/White.|Yellow/White.|Red/Black|Red/White.|Royal/White.|Silver/Black|Wine/Black|Wine/White.|Yellow/Black|Yellow/Red/Black|,,,,,,Screen Print|Digital Print|Sublimation Print,260mm wide x 200m high approx.,,,,,,"Item + 1 Col, 1 Panel Print",1 Position,1 Colour,Screen Print,1 Colour 1 Panel Print,,,,25,16.18,100,15.33,250,14.11,500,12.63,,,,,,,,,,Set Up,100,,,,,,,,,,,,,
9,,,,,,80MWG001,Par, ,,,Umbrellas | Golf Umbrella,,,,"Our basic model popular golf umbrella.  Available in a huge choice of colours, this umbrella is aimed at the budget-conscious.  ",,,Steel shaft|steel ribs|wooden handle.,Ribs: 8  Diameter: 132cm   Rib Length: 75cm,,WG001_Black.jpg,WG001Black.jpg|WG001Black-_White.jpg|WG001_Bottle.jpg|WG001-_Bottle-Black.jpg|WG001_Bottle-_White.jpg|WG001_Green_White.jpg|WG001_Navyjpg|WG001n-_White.jpg|WG001o-_White.jpg|WG001r.jpg|WG001r-Black.jpg|WG001r-_White.jpg|WG001r-w-Black.jpg|WG001r-w-Royal.jpg|WG001Royal.jpg|WG001Royal-_White.jpg|WG001_Silver-Black.jpg|WG001_White.jpg|WG001w_Navyjpg|WG,wg001Black.jpg|wg001Black_White.jpg|wg001Bottle.jpg|WG001-Bottle_Black.jpg|wg001Bottle_White.jpg|wg001Green-White.jpg|wg001Navy.jpg|wg001Navy-White.jpg|wg001Orange-White.jpg|wg001r.jpg|wg001r-Black.jpg|wg001Red-White.jpg|wg001r-w-Black.jpg|wg001Red-White-Royal.jpg|wg001Royal.jpg|wg001Royal-White.jpg|wg001sil-Black.jpg|wg001w.jpg|wg001Wine.jpg|wg,,Black|Bottle|Navy|Red|Royal|White.|Wine|Black/White.|Bottle/Black|Bottle/White.|Green/White.|Navy/White.|Orange/White.|Yellow/White.|Red/Black|Red/White.|Royal/White.|Silver/Black|Wine/Black|Wine/White.|Yellow/Black|Yellow/Red/Black|,,,,,,Screen Print|Digital Print|Sublimation Print,260mm wide x 200m high approx.,,,,,,"Item + 1 Col, 2 Panel Print",2 Position,1 Colour,Screen Print,1 Colour 2 Panel Print,,,,25,17.65,100,16.21,250,15.48,500,13.91,,,,,,,,,,Set Up,100,,,,,,,,,,,,,
10,,,,,,80MWG001,Par,,,,Umbrellas | Golf Umbrella,,,,"Our basic model popular golf umbrella.  Available in a huge choice of colours, this umbrella is aimed at the budget-conscious.  ",,,Steel shaft|steel ribs|wooden handle.,Ribs: 8  Diameter: 132cm   Rib Length: 75cm,,WG001_Black.jpg,WG001Black.jpg|WG001Black-_White.jpg|WG001_Bottle.jpg|WG001-_Bottle-Black.jpg|WG001_Bottle-_White.jpg|WG001_Green_White.jpg|WG001_Navyjpg|WG001n-_White.jpg|WG001o-_White.jpg|WG001r.jpg|WG001r-Black.jpg|WG001r-_White.jpg|WG001r-w-Black.jpg|WG001r-w-Royal.jpg|WG001Royal.jpg|WG001Royal-_White.jpg|WG001_Silver-Black.jpg|WG001_White.jpg|WG001w_Navyjpg|WG,wg001Black.jpg|wg001Black_White.jpg|wg001Bottle.jpg|WG001-Bottle_Black.jpg|wg001Bottle_White.jpg|wg001Green-White.jpg|wg001Navy.jpg|wg001Navy-White.jpg|wg001Orange-White.jpg|wg001r.jpg|wg001r-Black.jpg|wg001Red-White.jpg|wg001r-w-Black.jpg|wg001Red-White-Royal.jpg|wg001Royal.jpg|wg001Royal-White.jpg|wg001sil-Black.jpg|wg001w.jpg|wg001Wine.jpg|wg,,Black|Bottle|Navy|Red|Royal|White.|Wine|Black/White.|Bottle/Black|Bottle/White.|Green/White.|Navy/White.|Orange/White.|Yellow/White.|Red/Black|Red/White.|Royal/White.|Silver/Black|Wine/Black|Wine/White.|Yellow/Black|Yellow/Red/Black|,,,,,,Screen Print|Digital Print|Sublimation Print,260mm wide x 200m high approx.,,,,,,"Item + 2 Col, 1 Panel Print",1 Position,2 Colour,Screen Print,2 Colour 1 Panel Print,,,,25,18.6,100,17.1,250,15.18,500,14.73,,,,,,,,,,Set Up,200,,,,,,,,,,,,,
11,,,,,,80MWG001,Par,,,,Umbrellas | Golf Umbrella,,,,"Our basic model popular golf umbrella.  Available in a huge choice of colours, this umbrella is aimed at the budget-conscious.  ",,,Steel shaft|steel ribs|wooden handle.,Ribs: 8  Diameter: 132cm   Rib Length: 75cm,,WG001_Black.jpg,WG001Black.jpg|WG001Black-_White.jpg|WG001_Bottle.jpg|WG001-_Bottle-Black.jpg|WG001_Bottle-_White.jpg|WG001_Green_White.jpg|WG001_Navyjpg|WG001n-_White.jpg|WG001o-_White.jpg|WG001r.jpg|WG001r-Black.jpg|WG001r-_White.jpg|WG001r-w-Black.jpg|WG001r-w-Royal.jpg|WG001Royal.jpg|WG001Royal-_White.jpg|WG001_Silver-Black.jpg|WG001_White.jpg|WG001w_Navyjpg|WG,wg001Black.jpg|wg001Black_White.jpg|wg001Bottle.jpg|WG001-Bottle_Black.jpg|wg001Bottle_White.jpg|wg001Green-White.jpg|wg001Navy.jpg|wg001Navy-White.jpg|wg001Orange-White.jpg|wg001r.jpg|wg001r-Black.jpg|wg001Red-White.jpg|wg001r-w-Black.jpg|wg001Red-White-Royal.jpg|wg001Royal.jpg|wg001Royal-White.jpg|wg001sil-Black.jpg|wg001w.jpg|wg001Wine.jpg|wg,,Black|Bottle|Navy|Red|Royal|White.|Wine|Black/White.|Bottle/Black|Bottle/White.|Green/White.|Navy/White.|Orange/White.|Yellow/White.|Red/Black|Red/White.|Royal/White.|Silver/Black|Wine/Black|Wine/White.|Yellow/Black|Yellow/Red/Black|,,,,,,Screen Print|Digital Print|Sublimation Print,260mm wide x 200m high approx.,,,,,,"Item + 2 Col, 2 Panel Print",2 Position,2 Colour,Screen Print,2 Colour 2 Panel Print,,,,25,19.55,100,17.98,250,16,500,14.44,,,,,,,,,,Set Up,200,,,,,,,,,,,,,
13,,,,,,80MWG001(S),Par (silver cover),,,,Umbrellas | Golf Umbrella,,,,"Our basic model popular golf umbrella.  With the added feature of UPF50+ sun protection. Available in a huge choice of colours, this umbrella is aimed at the budget-conscious.  With the added feature of UPF50+ sun protection.   ",,,Steel shaft|steel ribs|wooden handle.,Ribs: 8  Diameter: 132cm  R,,WG001(S)_Silver.jpg,WG001_Silver.jpg,wg001Silver.jpg,,Silver,,,,,,"Screen Print|Digital Print|Sublimation Print (Aust.only),",260mm wide x 200m high approx.,,,,,,"Item + 1 Col, 1 Panel Print",1 Position,1 Colour,Screen Print,1 Colour 1 Panel Print,,,,25,19.2,100,17.58,250,15.55,500,13.89,,,,,,,,,,Set Up,100,,,,,,,,,,,,,
14,,,,,,80MWG001(S),Par (silver cover),,,,Umbrellas | Golf Umbrella,,,,"Our basic model popular golf umbrella.  With the added feature of UPF50+ sun protection. Available in a huge choice of colours, this umbrella is aimed at the budget-conscious.  With the added feature of UPF50+ sun protection.   ",,,Steel shaft|steel ribs|wooden handle.,Ribs: 8  Diameter: 132cm  R,,WG001(S)_Silver.jpg,WG001_Silver.jpg,wg001Silver.jpg,,Silver,,,,,,"Screen Print|Digital Print|Sublimation Print (Aust.only),",260mm wide x 200m high approx.,,,,,,"Item + 1 Col, 2 Panel Print",2 Position,1 Colour,Screen Print,1 Colour 2 Panel Print,,,,25,20.67,100,18.95,250,16.82,500,15.07,,,,,,,,,,Set Up,100,,,,,,,,,,,,,
15,,,,,,80MWG001(S),Par (silver cover),,,,Umbrellas | Golf Umbrella,,,,"Our basic model popular golf umbrella.  With the added feature of UPF50+ sun protection. Available in a huge choice of colours, this umbrella is aimed at the budget-conscious.  With the added feature of UPF50+ sun protection.   ",,,Steel shaft|steel ribs|wooden handle.,Ribs: 8  Diameter: 132cm  R,,WG001(S)_Silver.jpg,WG001_Silver.jpg,wg001Silver.jpg,,Silver,,,,,,"Screen Print|Digital Print|Sublimation Print (Aust.only),",260mm wide x 200m high approx.,,,,,,"Item + 2 Col, 1 Panel Print",1 Position,2 Colour,Screen Print,2 Colour 1 Panel Print,,,,25,21.63,100,19.84,250,17.64,500,15.83,,,,,,,,,,Set Up,200,,,,,,,,,,,,,
16,,,,,,80MWG001(S),Par (silver cover),,,,Umbrellas | Golf Umbrella,,,,"Our basic model popular golf umbrella.  With the added feature of UPF50+ sun protection. Available in a huge choice of colours, this umbrella is aimed at the budget-conscious.  With the added feature of UPF50+ sun protection.   ",,,Steel shaft|steel ribs|wooden handle.,Ribs: 8  Diameter: 132cm  R,,WG001(S)_Silver.jpg,WG001_Silver.jpg,wg001Silver.jpg,,Silver,,,,,,"Screen Print|Digital Print|Sublimation Print (Aust.only),",260mm wide x 200m high approx.,,,,,,"Item + 2 Col, 2 Panel Print",2 Position,2 Colour,Screen Print,2 Colour 2 Panel Print,,,,25,22.58,100,20.73,250,18.47,500,16.6,,,,,,,,,,Set Up,200,,,,,,,,,,,,,
18,,,,,,80MWG0015,Rookie,,,,Umbrellas | Golf Umbrella,,,,The pricebuster golf umbrella.  Our lowest-priced golf umbrella with a slightly smaller frame.   ,,,Steel shaft|steel ribs|wooden handle.,Ribs: 8  Diameter: 128cm  Rib Length: 74cm,,WG0015_Black.jpg,,,,Black|Navy|Black/White.|Navy/White.|Royal/White.|Bottle/White.|Red/White.|Royal/White.,,,,,,Screen Print|Digital Print|Sublimation Print (Aust only),260mm wide x 200m high approx.,,,,,,"Item + 1 Col, 1 Panel Print",1 Position,1 Colour,Screen Print,1 Colour 1 Panel Print,,,,25,15.31,100,14.5,250,13.31,500,11.96,,,,,,,,,,Set Up,100,,,,,,,,,,,,,
19,,,,,,80MWG0015,Rookie,,,,Umbrellas | Golf Umbrella,,,,The pricebuster golf umbrella.  Our lowest-priced golf umbrella with a slightly smaller frame.   ,,,Steel shaft|steel ribs|wooden handle.,Ribs: 8  Diameter: 128cm  Rib Length: 74cm,,WG0015_Black.jpg,,,,Black|Navy|Black/White.|Navy/White.|Royal/White.|Bottle/White.|Red/White.|Royal/White.,,,,,,Screen Print|Digital Print|Sublimation Print (Aust only),260mm wide x 200m high approx.,,,,,,"Item + 1 Col, 2 Panel Print",2 Position,1 Colour,Screen Print,1 Colour 2 Panel Print,,,,25,16.78,100,15.92,250,14.68,500,13.23,,,,,,,,,,Set Up,100,,,,,,,,,,,,,
