member_supplier_name~membership_number~catalogue_name~brand_name~label_name~appa_product_code~product_code~product_name~product_code_group~categorisation~category_ /_sub category~Memento Category~additional_keywords~product_tags~discontinued_stock~product_description~description_additional~product_features~product_materials~product_item_size~product_packaging_inner~product_image_file_name~alternate_views_image_file_names~group_image_file_name~colours_available_appa~colours_available_supplier~colour_image_file_names~colour_product_codes~product_sizes~size_images~size_product_code~decoration_options_available~decoration_areas~indent_only~branded~custom_field_1~custom_field_2~custom_field_3~price_decoration_description~decoration position ~decoration color~decoration_type~price_product_code~price_notes~MOQ~IOQ~qty_1~sell_1~qty_2~sell_2~qty_3~sell_3~qty_4~sell_4~qty_5~sell_5~qty_6~sell_6~qty_7~sell_7~qty_8~sell_8~additional_charges_name1~additional_charge_value1~Set-up Charge~additional_charges_notes1~additional_charges_name2~additional_charge_value2~additional_charges_notes2~carton_height~carton_width~carton_depth~carton_weight~carton_qty~carton_cubic~carton_notes~freight_description~product_URL
~~~~~~103M100420~15cm Mini Ruler~~Business~Business/Stationery~STATIONERY | RULERS~~~No~Small plastic ruler with both centimetres and inches.~~~~W 30mm x L 156mm x 3mm.~Loose packed. ~100420-0.jpg~~~White~~~~~~~Pad Print~Pad Print 65mm x 10mm.|Screen Print 140mm x 12mm.|Direct Digital 150mm x 12mm.~~~~~~Item + Pad Print (1 Colour)~1 Position~1 Colour~Pad Print~~~250~~250~0.71~500~0.69~1000~0.67~2500~0.63~5000~0.60~~~~~~~Set Up Charges~0.15~50~~Full Colour Per Position~0.4~~~~~~~~~~http://www.trendscollection.co.nz/item/109391
~~~~~~103M100420~15cm Mini Ruler~~Business~Business/Stationery~STATIONERY | RULERS~~~No~Small plastic ruler with both centimetres and inches.~~~~W 30mm x L 156mm x 3mm.~Loose packed. ~100420-0.jpg~~~White~~~~~~~Screen Print~Pad Print 65mm x 10mm.|Screen Print 140mm x 12mm.|Direct Digital 150mm x 12mm.~~~~~~Item + Screen Print (1 Colour)~1 Position~1 Colour~Screen Print~~~250~~250~0.71~500~0.69~1000~0.67~2500~0.63~5000~0.60~~~~~~~Set Up Charges~0.15~50~~Full Colour Per Position~0.4~~~~~~~~~~http://www.trendscollection.co.nz/item/109714
~~~~~~103M100420~15cm Mini Ruler~~Business~Business/Stationery~STATIONERY | RULERS~~~No~Small plastic ruler with both centimetres and inches.~~~~W 30mm x L 156mm x 3mm.~Loose packed. ~100420-0.jpg~~~White~~~~~~~Direct Digital~Pad Print 65mm x 10mm.|Screen Print 140mm x 12mm.|Direct Digital 150mm x 12mm.~~~~~~Item + Digital (Full Colour)~1 Position~Full Colour~Direct Digital~~~250~~250~1.14~500~1.12~1000~1.07~2500~1.02~5000~0.93~~~~~~~Set Up Charges~0.15~50~~Full Colour Per Position~0.4~~~~~~~~~~http://www.trendscollection.co.nz/item/109686
~~~~~~103M109705~20cm Beach Ball~~World Source~World Source/Beach Balls~OUTDOORS | BEACH ITEMS~~~No~Beach balls available in the choice of 20cm or 27 cm sizes. Available in alternating colour panels, trendy transluscent colours and a multi colour ball featuring Yellow, White, Red, Green and Blue panels. A lead time of 10 - 15 working days applies to this product.~~~~Inflated: 20cm diameter.~Loose packed. ~109705-0.jpg~~~~~~~~~~Pad Print~Pad Print 63mm x 63mm (one colour).~~~~~~Item + 1 Colour Pad Print (1 Colour)~1 Position~1 Colour~Pad Print~~~100~~100~3.46~250~2.84~500~2.53~1000~2.35~2500~2.12~~~~~~~Set Up Charges~0~70~~Additional Position~0.53~~~~~~~~~~http://www.trendscollection.co.nz/item/109333
~~~~~~103M109706~27cm Beach Ball~~World Source~World Source/Beach Balls~OUTDOORS | BEACH ITEMS~~~No~27cm beach ball supplied flat packed ready for inflation. Available in alternating colour panels or trendy translucent colours. A lead time of 10-15 working days applies to this product.~~~~Inflated: 27cm diameter.~Loose packed. ~109706-0.jpg~~~~~~~~~~Pad Print~Pad Print 76mm x 76mm (one colour).~~~~~~Item + 1 Colour Pad Print (1 Colour)~1 Position~1 Colour~Pad Print~~~100~~100~4.12~250~3.37~500~3.17~1000~2.97~2500~2.69~~~~~~~Set Up Charges~0~70~~Additional Position~0.53~~~~~~~~~~http://www.trendscollection.co.nz/item/109330
~~~~~~103M109434~3 Piece Cutlery Set~~World Source~World Source/Kitchen~HOMEWARES | UTENSILS~~~No~Reusable three piece food grade plastic cutlery set which includes a knife, fork and spoon all locked together in a protective cover which keeps the utensils clean. Hand washing is recommended. A lead time of 10-15 working days applies to this product.~~~~H 178mm. ~Loose packed. ~109434-0.jpg~~~~~~~~~~Pad Print~Pad Print Lid - 19mm x 51mm (two colour max). |Pad Print Handle - 12.5mm x 32mm (two colour max).~~~~~~Printing 1 Colour~1 Position~1 Colour~Pad Print~~~100~~100~3.60~250~2.98~500~2.67~1000~2.48~2500~2.24~~~~~~~Set Up Charges~0~70~~Additional Pos/Col (2 colour max)~0.27~~~~~~~~~~
 ~~~~~~103M109435~3 Piece Utensil Set~~World Source~World Source/Stylus Pens~HOMEWARES | UTENSILS~~~No~Rugged tote bag with a large gusset which is ideal for carrying heavy products like supermarket shopping. Has reinforced handles and a cardboard base for added strength. Manufactured from 80gsm eco-friendly non-woven material which is able to be recycled.~~~~H 340mm x W 305mm x Gusset 205mm (excludes handles).~Loose packed.~106980-0.jpg~~~White|Red|Blue|Black~~~~~~~Pad Print~~~~~~~Item + 1 Colour Pad Print (1 colour) ~1 Position~1 Colour~Pad Print~~~~~250~3.17~500~2.85~1000~2.66~2500~2.41~5000~2.22~~~~~~~Set Up Charges~0~70~~~~~~~~~~~~~
~~~~~~103M109435~3 Piece Utensil Set~~World Source~World Source/Stylus Pens~HOMEWARES | UTENSILS~~~No~Rugged tote bag with a large gusset which is ideal for carrying heavy products like supermarket shopping. Has reinforced handles and a cardboard base for added strength. Manufactured from 80gsm eco-friendly non-woven material which is able to be recycled.~~~~H 340mm x W 305mm x Gusset 205mm (excludes handles).~Loose packed.~106980-0.jpg~~~White|Red|Blue|Black~~~~~~~Direct Digital~~~~~~~Item + 1 Digital (Full Colour)~1 Position~Full Colour~Direct Digital~~~~~250~3.58~500~3.27~1000~3.18~2500~2.89~5000~2.67~~~~~~~Set Up Charges~0.32~70~~~~~~~~~~~~~
~~~~~~103M100739~30cm Metal Ruler~~Business~Business/Stationery~STATIONERY | RULERS~~~No~Clip with a strong magnet which will hold documents or notes on a fridge or any metal surface. ~~~~W 70mm x L 70mm x 33mm.~Loose packed.~100538-0.jpg~~~Clear|White|Red|Blue~~~~~~~Pad Print~~~~~~~Item + 1 Colour Pad Print (1 colour)~1 Position~1 Colour~Pad Print~~~~~100~3.37~250~3.29~500~3.08~1000~2.90~2500~2.62~~~~~~~Set Up Charges~0.3~50~~~~~~~~~~~~~http://www.trendscollection.co.nz/item/109378
~~~~~~103M100739~30cm Metal Ruler~~Business~Business/Stationery~STATIONERY | RULERS~~~No~Clip with a strong magnet which will hold documents or notes on a fridge or any metal surface. ~~~~W 70mm x L 70mm x 33mm.~Loose packed.~100538-0.jpg~~~Clear|White|Red|Blue~~~~~~~Engraving~~~~~~~Item + 1 Position Engraving~1 Position~1 Colour~Engraving~~~~~100~3.37~250~3.29~500~3.08~1000~2.90~2500~2.62~~~~~~~Set Up Charges~0.3~50~~~~~~~~~~~~~http://www.trendscollection.co.nz/item/109374
~~~~~~103M109707~36cm Beach Ball~~World Source~World Source/Beach Balls~OUTDOORS | BEACH ITEMS~~~No~Beach balls available in the choice of 20cm, 27cm, 36cm and 43cm sizes. Available in alternating colour panels, trendy transluscent colours and a multi colour ball featuring Yellow, White, Red, Green and Blue panels. A lead time of 10 - 15 working days applies to this product.~~~~Inflated: 36cm diameter.~Loose packed. ~109707-0.jpg~~~~~~~~~~Pad Print~Pad Print 76mm x 76mm (one colour).~~~~~~Item + 1 Colour Pad Print (1 Colour)~1 Position~1 Colour~Pad Print~~~100~~100~6.25~250~5.42~500~5.05~1000~4.59~2500~4.21~~~~~~~Set Up Charges~0~50~~Additional Position~0.53~~~~~~~~~~
~~~~~~103M109753~3-in-1 Desk Cube~~World Source~World Source/Ear Buds~TECHNOLOGY | HEADPHONES & EARBUDS~~~No~Handy desk cube with a phone stand. Contains a set of earbuds which match the trim colour of the cube and a microfibre cloth. A lead time of 10-15 working days applies to this product.~~~~W 50mm x H 47mm x 38mm. ~Loose packed.~109753-0.jpg~~~~~~~~~~Pad Print~Pad Print 28mm x 25mm (front and back only).|Direct Digital 28mm x 25mm (front and back only).~~~~~~Item + 1 Colour Pad Print (1 Colour)~1 Position~1 Colour~Pad Print~~~100~~100~5.00~250~4.22~500~3.89~1000~3.79~2500~3.21~~~~~~~Set Up Charges~0~70~~Additional Col/Pos (2 colour max)~0.27~~~~~~~~~~
~~~~~~103M109667~3-In-1 Key Ring~~World Source~World Source/Stylus Pens~PERSONAL CARE | PERSONAL SAFETY~~~No~Rugged tote bag with a large gusset which is ideal for carrying heavy products like supermarket shopping. Has reinforced handles and a cardboard base for added strength. Manufactured from 80gsm eco-friendly non-woven material which is able to be recycled.~~~~H 340mm x W 305mm x Gusset 205mm (excludes handles).~Loose packed.~106980-0.jpg~~~White|Red|Blue|Black~~~~~~~Screen Print~~~~~~~Item + 1 Colour Screen Print (1 colour) ~1 Position~1 Colour~Screen Print~~~~~150~2.25~250~1.97~500~1.70~1000~1.60~2500~1.50~~~~~~~Set Up Charges~0~70~~~~~~~~~~~~~
~~~~~~103M109667~3-In-1 Key Ring~~World Source~World Source/Stylus Pens~PERSONAL CARE | PERSONAL SAFETY~~~No~Rugged tote bag with a large gusset which is ideal for carrying heavy products like supermarket shopping. Has reinforced handles and a cardboard base for added strength. Manufactured from 80gsm eco-friendly non-woven material which is able to be recycled.~~~~H 340mm x W 305mm x Gusset 205mm (excludes handles).~Loose packed.~106980-0.jpg~~~White|Red|Blue|Black~~~~~~~Direct Digital~~~~~~~Item + 1 Digital (Full Colour)~1 Position~Full Colour~Direct Digital~~~~~150~2.80~250~2.53~500~2.23~1000~2.06~2500~1.87~~~~~~~Set Up Charges~0.32~70~~~~~~~~~~~~~
~~~~~~103M109240~3-In-1 Pen~~World Source~World Source/Novelty Pens~WRITING INSTRUMENTS | NOVELTY PENS~~~No~Multi colour retractable plastic ball pen with a soft rubber grip which has Black, Blue and Red ink refills. A lead time of 10-15 working days applies to this product.~~~~L 146mm.~Loose packed.~109240-0.jpg~~~~~~~~~~Screen Print~Screen Print 32mm x 12.5mm (one colour).~~~~~~Item + 1 Colour Screen Print (1 Colour)~1 Position~1 Colour~Screen Print~~~250~~250~1.51~500~1.30~1000~1.15~2500~1.05~5000~0.96~~~~~~~Set Up Charges~0~70~~~0~~~~~~~~~~
~~~~~~103M109283~3-In-1 Stylus Key Ring~~World Source~World Source/Stylus Pens~KEYRINGS | NOVELTY~~~No~Rugged tote bag with a large gusset which is ideal for carrying heavy products like supermarket shopping. Has reinforced handles and a cardboard base for added strength. Manufactured from 80gsm eco-friendly non-woven material which is able to be recycled.~~~~H 340mm x W 305mm x Gusset 205mm (excludes handles).~Loose packed.~106980-0.jpg~~~White|Red|Blue|Black~~~~~~~Pad Print~~~~~~~Item + 1 Colour Pad Print (1 colour) ~1 Position~1 Colour~Pad Print~~~~~100~1.51~250~1.30~500~1.19~1000~1.08~2500~1.03~~~~~~~Set Up Charges~0~70~~~~~~~~~~~~~
