category,sc1,sc2,sku,serial_number,item_description,size,volume,unit,packaging,color,source1,retail_price,selling_price,qty,offer,Image
Paper,Cup,Ripple cup,FPPRCE04,FPPRCE04,Ripple Cup 4 Oz,4Oz,60x62mm,CTN,1x1000 Pcs,Printed ,UAE,10,9,100,1,
Paper,Cup,Ripple cup,FPPRCE08,FPPRCE08,Ripple Cup 8 Oz,8Oz,80x92mm,CTN,1x500 Pcs,Black,UAE,10,9,100,1,
Paper,Cup,Ripple cup,FPPRCE12,FPPRCE12,Ripple Cup 12 Oz,12Oz,88x110mm,CTN,1x500 Pcs,Black,UAE,10,9,100,1,
Paper,Cup,Ripple cup,FPPRCE16,FPPRCE16,Ripple Cup 16 Oz,16 Oz,90X135mm,CTN,1x500 Pcs,Black,UAE,10,9,100,1,
Paper,Cup,Ripple cup,FPPRCH04,FPPRCH04,White Ripple Cup 4Oz,4 Oz,60x62mm,CTN,1x1000 Pcs,White,UAE,10,9,100,1,
Paper,Cup,Ripple cup,FPPRCW08,FPPRCW08,White Ripple Cup 8Oz,8Oz,80x92mm,CTN,1x500 Pcs,White,UAE,10,9,100,1,
Paper,Cup,Ripple cup,FPPRCH12,FPPRCH12,White Ripple Cup 12Oz,12Oz,88x110mm,CTN,1x500 Pcs,White,UAE,10,9,100,1,
Paper,Cup,Ripple cup,FPPRCH16,FPPRCH16,White Ripple Cup 16Oz,16Oz,90X135mm,CTN,1x500 Pcs,White,UAE,10,9,100,1,
Paper,Cup,Zig-Zag Ripple Paper cup,FPPZZRCN04,FPPZZRCN04,Zig-Zag Ripple Paper cup 4Oz,4Oz,63x60mm,CTN,1x1000 Pcs,BROWN,UAE,10,9,100,1,
Paper,Cup,Zig-Zag Ripple Paper cup,FPPZZRCN08,FPPZZRCN08,Zig-Zag Ripple Paper cup 8Oz,8Oz,79X92,CTN,1x500 Pcs,BROWN,UAE,10,9,100,1,
Paper,Cup,Zig-Zag Ripple Paper cup,FPPZZRCN12,FPPZZRCN12,Zig-Zag Ripple Paper cup 12Oz,12Oz,89x111mm,CTN,1x500 Pcs,BROWN,UAE,10,9,100,1,
Paper,Cup,Zig-Zag Ripple Paper cup,FPPZZRCN16,FPPZZRCN16,Zig-Zag Ripple Paper cup 16Oz,16Oz,89x129mm,CTN,1x500 Pcs,BROWN,UAE,10,9,100,1,
Paper,Cup, Double Wall Cup,FPP2WN04,FPP2WN04, Double Wall Cup 4Oz,4Oz,63x60mm,CTN,1x1000 Pcs,BROWN,UAE,10,9,100,1,
Paper,Cup, Double Wall Cup,FPP2WN08,FPP2WN08, Double Wall Cup 8Oz,8Oz,79X92,CTN,1x500 Pcs,BROWN,UAE,10,9,100,1,
Paper,Cup, Double Wall Cup,FPP2WN12,FPP2WN12, Double Wall Cup 12Oz,12Oz,89x111mm,CTN,1x500 Pcs,BROWN,UAE,10,9,100,1,
Paper,Cup, Double Wall Cup,FPP2WN16,FPP2WN16, Double Wall Cup 16Oz,16Oz,89x129mm,CTN,1x500 Pcs,BROWN,UAE,10,9,100,1,
Paper,Cup,Single Wall Cup,FPP1WN04,FPP1WN04,Single Wall Cup 4 Oz,4Oz,63x60mm,CTN,1x1000 Pcs,BROWN,UAE,10,9,100,1,
Paper,Cup,Single Wall Cup,FPP1WN6.5,FPP1WN6.5,Single wall Cup6.5 Oz,6.5Oz,,CTN,1x1000 Pcs,BROWN,UAE,10,9,100,1,
Paper,Cup,Single Wall Cup,FPP1WN08,FPP1WN08,Single wall Cup 8Oz,8Oz,,CTN,1x1000 Pcs,BROWN,UAE,10,9,100,1,
Paper,Cup,Single Wall Cup,FPP1WN12,FPP1WN12,Single wall Cup 12Oz,12Oz,,CTN,1x1000 Pcs,BROWN,UAE,10,9,100,1,
